codigo_actividad,codigo_participante,estado_asistencia,completo_actividad,horas_participacion,fecha_registro
ACT-032,PAR-074,Presente,True,5.0,2025-05-29
ACT-032,PAR-048,Presente,True,5.0,2025-05-29
ACT-032,PAR-107,Presente,True,5.0,2025-05-29
ACT-032,PAR-124,Presente,False,3.11,2025-05-29
ACT-032,PAR-070,Presente,True,5.0,2025-05-29
ACT-032,PAR-089,Presente,True,5.0,2025-05-29
ACT-032,PAR-019,Presente,True,5.0,2025-05-29
ACT-032,PAR-100,Presente,True,5.0,2025-05-29
ACT-032,PAR-012,Presente,True,5.0,2025-05-29
ACT-032,PAR-037,Presente,True,5.0,2025-05-29
ACT-032,PAR-083,Ausente,False,0.0,2025-05-29
ACT-032,PAR-002,Presente,True,5.0,2025-05-29
ACT-032,PAR-093,Presente,True,5.0,2025-05-29
ACT-032,PAR-007,Presente,True,5.0,2025-05-29
ACT-032,PAR-068,Presente,True,5.0,2025-05-29
ACT-032,PAR-096,Presente,True,5.0,2025-05-29
ACT-032,PAR-052,Presente,True,5.0,2025-05-29
ACT-032,PAR-117,Presente,True,5.0,2025-05-29
ACT-032,PAR-098,Presente,True,5.0,2025-05-29
ACT-032,PAR-120,Presente,True,5.0,2025-05-29
ACT-038,PAR-093,Presente,False,3.91,2025-07-10
ACT-038,PAR-016,Presente,True,5.0,2025-07-10
ACT-038,PAR-051,Presente,True,5.0,2025-07-10
ACT-038,PAR-099,Presente,False,4.37,2025-07-10
ACT-038,PAR-070,Presente,True,5.0,2025-07-10
ACT-038,PAR-140,Presente,True,5.0,2025-07-10
ACT-038,PAR-112,Presente,True,5.0,2025-07-10
ACT-038,PAR-097,Presente,True,5.0,2025-07-10
ACT-038,PAR-113,Presente,True,5.0,2025-07-10
ACT-038,PAR-108,Presente,True,5.0,2025-07-10
ACT-038,PAR-055,Presente,True,5.0,2025-07-10
ACT-038,PAR-008,Presente,True,5.0,2025-07-10
ACT-038,PAR-098,Presente,True,5.0,2025-07-10
ACT-038,PAR-105,Presente,True,5.0,2025-07-10
ACT-038,PAR-090,Presente,False,3.42,2025-07-10
ACT-038,PAR-027,Presente,True,5.0,2025-07-10
ACT-038,PAR-107,Presente,True,5.0,2025-07-10
ACT-038,PAR-059,Ausente,False,0.0,2025-07-10
ACT-038,PAR-037,Presente,True,5.0,2025-07-10
ACT-038,PAR-135,Presente,True,5.0,2025-07-10
ACT-038,PAR-002,Presente,True,5.0,2025-07-10
ACT-038,PAR-032,Presente,True,5.0,2025-07-10
ACT-038,PAR-068,Presente,True,5.0,2025-07-10
ACT-038,PAR-047,Presente,True,5.0,2025-07-10
ACT-038,PAR-104,Presente,True,5.0,2025-07-10
ACT-038,PAR-048,Presente,True,5.0,2025-07-10
ACT-038,PAR-049,Presente,True,5.0,2025-07-10
ACT-038,PAR-019,Presente,True,5.0,2025-07-10
ACT-038,PAR-116,Ausente,False,0.0,2025-07-10
ACT-038,PAR-053,Presente,True,5.0,2025-07-10
ACT-038,PAR-074,Presente,True,5.0,2025-07-10
ACT-038,PAR-143,Presente,True,5.0,2025-07-10
ACT-026,PAR-070,Presente,True,6.0,2025-08-10
ACT-026,PAR-107,Presente,True,6.0,2025-08-10
ACT-026,PAR-135,Retiro temprano,False,3.23,2025-08-10
ACT-026,PAR-143,Presente,True,6.0,2025-08-10
ACT-026,PAR-047,Ausente,False,0.0,2025-08-10
ACT-026,PAR-027,Presente,True,6.0,2025-08-10
ACT-026,PAR-099,Presente,True,6.0,2025-08-10
ACT-026,PAR-097,Retiro temprano,False,3.37,2025-08-10
ACT-026,PAR-116,Presente,True,6.0,2025-08-10
ACT-026,PAR-053,Presente,True,6.0,2025-08-10
ACT-026,PAR-049,Presente,True,6.0,2025-08-10
ACT-026,PAR-055,Retiro temprano,False,1.82,2025-08-10
ACT-026,PAR-112,Presente,False,4.82,2025-08-10
ACT-026,PAR-105,Presente,True,6.0,2025-08-10
ACT-026,PAR-048,Presente,True,6.0,2025-08-10
ACT-026,PAR-059,Presente,True,6.0,2025-08-10
ACT-026,PAR-140,Presente,True,6.0,2025-08-10
ACT-026,PAR-074,Presente,True,6.0,2025-08-10
ACT-026,PAR-068,Presente,True,6.0,2025-08-10
ACT-026,PAR-093,Presente,True,6.0,2025-08-10
ACT-026,PAR-108,Presente,True,6.0,2025-08-10
ACT-026,PAR-037,Presente,True,6.0,2025-08-10
ACT-026,PAR-002,Presente,True,6.0,2025-08-10
ACT-026,PAR-113,Presente,True,6.0,2025-08-10
ACT-026,PAR-016,Retiro temprano,False,2.89,2025-08-10
ACT-026,PAR-098,Presente,True,6.0,2025-08-10
ACT-022,PAR-032,Presente,True,8.0,2025-09-24
ACT-022,PAR-049,Presente,False,6.07,2025-09-24
ACT-022,PAR-053,Presente,True,8.0,2025-09-24
ACT-022,PAR-055,Retiro temprano,False,4.38,2025-09-24
ACT-022,PAR-074,Presente,True,8.0,2025-09-24
ACT-022,PAR-090,Presente,True,8.0,2025-09-24
ACT-022,PAR-097,Presente,False,5.14,2025-09-24
ACT-022,PAR-098,Presente,True,8.0,2025-09-24
ACT-022,PAR-104,Presente,False,7.12,2025-09-24
ACT-022,PAR-112,Presente,True,8.0,2025-09-24
ACT-022,PAR-113,Presente,True,8.0,2025-09-24
ACT-022,PAR-070,Presente,True,8.0,2025-09-24
ACT-022,PAR-002,Presente,True,8.0,2025-09-24
ACT-022,PAR-099,Presente,True,8.0,2025-09-24
ACT-022,PAR-116,Presente,True,8.0,2025-09-24
ACT-022,PAR-008,Presente,True,8.0,2025-09-24
ACT-022,PAR-135,Presente,True,8.0,2025-09-24
ACT-022,PAR-048,Presente,True,8.0,2025-09-24
ACT-022,PAR-093,Retiro temprano,False,4.38,2025-09-24
ACT-022,PAR-037,Presente,True,8.0,2025-09-24
ACT-022,PAR-107,Presente,True,8.0,2025-09-24
ACT-022,PAR-108,Presente,True,8.0,2025-09-24
ACT-022,PAR-051,Presente,True,8.0,2025-09-24
ACT-022,PAR-019,Presente,True,8.0,2025-09-24
ACT-022,PAR-143,Presente,True,8.0,2025-09-24
ACT-022,PAR-105,Presente,True,8.0,2025-09-24
ACT-022,PAR-140,Presente,True,8.0,2025-09-24
ACT-022,PAR-068,Presente,True,8.0,2025-09-24
ACT-022,PAR-016,Presente,True,8.0,2025-09-24
ACT-022,PAR-027,Presente,False,4.88,2025-09-24
ACT-016,PAR-098,Presente,True,8.0,2025-09-30
ACT-016,PAR-108,Presente,True,8.0,2025-09-30
ACT-016,PAR-049,Presente,True,8.0,2025-09-30
ACT-016,PAR-016,Presente,True,8.0,2025-09-30
ACT-016,PAR-048,Presente,True,8.0,2025-09-30
ACT-016,PAR-002,Retiro temprano,False,3.99,2025-09-30
ACT-016,PAR-027,Ausente,False,0.0,2025-09-30
ACT-016,PAR-099,Ausente,False,0.0,2025-09-30
ACT-016,PAR-051,Presente,True,8.0,2025-09-30
ACT-016,PAR-032,Presente,True,8.0,2025-09-30
ACT-016,PAR-019,Retiro temprano,False,4.18,2025-09-30
ACT-016,PAR-055,Presente,True,8.0,2025-09-30
ACT-016,PAR-093,Presente,True,8.0,2025-09-30
ACT-016,PAR-070,Presente,True,8.0,2025-09-30
ACT-016,PAR-135,Presente,True,8.0,2025-09-30
ACT-016,PAR-059,Ausente,False,0.0,2025-09-30
ACT-016,PAR-074,Presente,True,8.0,2025-09-30
ACT-016,PAR-104,Presente,True,8.0,2025-09-30
ACT-016,PAR-105,Presente,True,8.0,2025-09-30
ACT-016,PAR-143,Presente,True,8.0,2025-09-30
ACT-016,PAR-008,Presente,True,8.0,2025-09-30
ACT-016,PAR-068,Presente,True,8.0,2025-09-30
ACT-016,PAR-053,Presente,True,8.0,2025-09-30
ACT-016,PAR-112,Ausente,False,0.0,2025-09-30
ACT-029,PAR-001,Ausente,False,0.0,2025-10-06
ACT-029,PAR-005,Presente,True,8.0,2025-10-06
ACT-029,PAR-007,Ausente,False,0.0,2025-10-06
ACT-029,PAR-017,Presente,True,8.0,2025-10-06
ACT-029,PAR-067,Presente,True,8.0,2025-10-06
ACT-029,PAR-072,Presente,True,8.0,2025-10-06
ACT-029,PAR-086,Retiro temprano,False,3.25,2025-10-06
ACT-029,PAR-103,Presente,True,8.0,2025-10-06
ACT-029,PAR-110,Presente,True,8.0,2025-10-06
ACT-029,PAR-120,Presente,True,8.0,2025-10-06
ACT-029,PAR-123,Presente,True,8.0,2025-10-06
ACT-029,PAR-126,Presente,True,8.0,2025-10-06
ACT-029,PAR-025,Presente,True,8.0,2025-10-06
ACT-029,PAR-029,Presente,True,8.0,2025-10-06
ACT-029,PAR-085,Presente,True,8.0,2025-10-06
ACT-029,PAR-064,Presente,False,7.14,2025-10-06
ACT-029,PAR-083,Presente,True,8.0,2025-10-06
ACT-029,PAR-052,Presente,True,8.0,2025-10-06
ACT-029,PAR-089,Presente,True,8.0,2025-10-06
ACT-029,PAR-081,Presente,True,8.0,2025-10-06
ACT-029,PAR-078,Presente,True,8.0,2025-10-06
ACT-029,PAR-100,Presente,True,8.0,2025-10-06
ACT-029,PAR-003,Presente,True,8.0,2025-10-06
ACT-029,PAR-066,Presente,True,8.0,2025-10-06
ACT-029,PAR-130,Presente,True,8.0,2025-10-06
ACT-029,PAR-137,Presente,True,8.0,2025-10-06
ACT-029,PAR-036,Presente,True,8.0,2025-10-06
ACT-029,PAR-054,Presente,True,8.0,2025-10-06
ACT-029,PAR-077,Presente,True,8.0,2025-10-06
ACT-029,PAR-012,Ausente,False,0.0,2025-10-06
ACT-029,PAR-114,Retiro temprano,False,2.78,2025-10-06
ACT-029,PAR-091,Presente,True,8.0,2025-10-06
ACT-029,PAR-117,Presente,True,8.0,2025-10-06
ACT-029,PAR-092,Presente,True,8.0,2025-10-06
ACT-029,PAR-015,Presente,True,8.0,2025-10-06
ACT-029,PAR-073,Ausente,False,0.0,2025-10-06
ACT-029,PAR-124,Presente,True,8.0,2025-10-06
ACT-019,PAR-001,Presente,True,6.0,2025-11-29
ACT-019,PAR-005,Presente,True,6.0,2025-11-29
ACT-019,PAR-007,Ausente,False,0.0,2025-11-29
ACT-019,PAR-017,Presente,True,6.0,2025-11-29
ACT-019,PAR-032,Presente,True,6.0,2025-11-29
ACT-019,PAR-049,Presente,True,6.0,2025-11-29
ACT-019,PAR-053,Presente,True,6.0,2025-11-29
ACT-019,PAR-055,Presente,True,6.0,2025-11-29
ACT-019,PAR-067,Ausente,False,0.0,2025-11-29
ACT-019,PAR-072,Presente,True,6.0,2025-11-29
ACT-019,PAR-074,Presente,True,6.0,2025-11-29
ACT-019,PAR-086,Presente,True,6.0,2025-11-29
ACT-019,PAR-090,Ausente,False,0.0,2025-11-29
ACT-019,PAR-097,Ausente,False,0.0,2025-11-29
ACT-019,PAR-098,Presente,True,6.0,2025-11-29
ACT-019,PAR-103,Presente,True,6.0,2025-11-29
ACT-019,PAR-104,Presente,True,6.0,2025-11-29
ACT-019,PAR-110,Presente,True,6.0,2025-11-29
ACT-019,PAR-112,Presente,True,6.0,2025-11-29
ACT-019,PAR-113,Presente,True,6.0,2025-11-29
ACT-019,PAR-120,Presente,True,6.0,2025-11-29
ACT-019,PAR-123,Retiro temprano,False,2.72,2025-11-29
ACT-019,PAR-126,Retiro temprano,False,2.72,2025-11-29
ACT-019,PAR-012,Presente,True,6.0,2025-11-29
ACT-019,PAR-029,Presente,True,6.0,2025-11-29
ACT-019,PAR-068,Presente,True,6.0,2025-11-29
ACT-019,PAR-015,Retiro temprano,False,2.16,2025-11-29
ACT-019,PAR-083,Presente,True,6.0,2025-11-29
ACT-019,PAR-091,Presente,True,6.0,2025-11-29
ACT-019,PAR-051,Presente,True,6.0,2025-11-29
ACT-015,PAR-089,Presente,True,6.0,2025-12-19
ACT-015,PAR-036,Presente,True,6.0,2025-12-19
ACT-015,PAR-100,Presente,True,6.0,2025-12-19
ACT-015,PAR-052,Presente,True,6.0,2025-12-19
ACT-015,PAR-083,Presente,True,6.0,2025-12-19
ACT-015,PAR-005,Presente,True,6.0,2025-12-19
ACT-015,PAR-066,Retiro temprano,False,1.91,2025-12-19
ACT-015,PAR-012,Retiro temprano,False,3.42,2025-12-19
ACT-015,PAR-137,Presente,True,6.0,2025-12-19
ACT-015,PAR-081,Presente,True,6.0,2025-12-19
ACT-015,PAR-110,Presente,True,6.0,2025-12-19
ACT-015,PAR-007,Presente,True,6.0,2025-12-19
ACT-015,PAR-001,Retiro temprano,False,2.47,2025-12-19
ACT-015,PAR-120,Presente,True,6.0,2025-12-19
ACT-015,PAR-103,Presente,True,6.0,2025-12-19
ACT-015,PAR-123,Presente,True,6.0,2025-12-19
ACT-015,PAR-015,Ausente,False,0.0,2025-12-19
ACT-015,PAR-091,Presente,True,6.0,2025-12-19
ACT-015,PAR-117,Presente,True,6.0,2025-12-19
ACT-015,PAR-072,Presente,True,6.0,2025-12-19
ACT-015,PAR-092,Presente,True,6.0,2025-12-19
ACT-003,PAR-155,Presente,True,8.0,2024-05-05
ACT-003,PAR-158,Presente,True,8.0,2024-05-05
ACT-003,PAR-159,Presente,True,8.0,2024-05-05
ACT-003,PAR-181,Presente,True,8.0,2024-05-05
ACT-003,PAR-185,Retiro temprano,False,2.91,2024-05-05
ACT-003,PAR-189,Presente,True,8.0,2024-05-05
ACT-003,PAR-191,Ausente,False,0.0,2024-05-05
ACT-003,PAR-162,Ausente,False,0.0,2024-05-05
ACT-003,PAR-190,Ausente,False,0.0,2024-05-05
ACT-003,PAR-167,Presente,True,8.0,2024-05-05
ACT-003,PAR-199,Presente,True,8.0,2024-05-05
ACT-003,PAR-198,Presente,True,8.0,2024-05-05
ACT-003,PAR-187,Presente,True,8.0,2024-05-05
ACT-003,PAR-153,Ausente,False,0.0,2024-05-05
ACT-003,PAR-148,Presente,True,8.0,2024-05-05
ACT-003,PAR-184,Presente,False,6.74,2024-05-05
ACT-003,PAR-192,Retiro temprano,False,3.45,2024-05-05
ACT-003,PAR-163,Retiro temprano,False,4.02,2024-05-05
ACT-003,PAR-174,Ausente,False,0.0,2024-05-05
ACT-004,PAR-150,Retiro temprano,False,2.16,2024-06-21
ACT-004,PAR-196,Presente,True,5.0,2024-06-21
ACT-004,PAR-195,Presente,True,5.0,2024-06-21
ACT-004,PAR-154,Ausente,False,0.0,2024-06-21
ACT-004,PAR-151,Ausente,False,0.0,2024-06-21
ACT-004,PAR-149,Presente,True,5.0,2024-06-21
ACT-004,PAR-183,Presente,True,5.0,2024-06-21
ACT-004,PAR-173,Ausente,False,0.0,2024-06-21
ACT-004,PAR-146,Presente,True,5.0,2024-06-21
ACT-004,PAR-172,Presente,True,5.0,2024-06-21
ACT-004,PAR-188,Ausente,False,0.0,2024-06-21
ACT-004,PAR-166,Presente,True,5.0,2024-06-21
ACT-004,PAR-161,Presente,True,5.0,2024-06-21
ACT-004,PAR-193,Presente,True,5.0,2024-06-21
ACT-004,PAR-170,Ausente,False,0.0,2024-06-21
ACT-004,PAR-168,Ausente,False,0.0,2024-06-21
ACT-004,PAR-182,Ausente,False,0.0,2024-06-21
ACT-004,PAR-178,Presente,True,5.0,2024-06-21
ACT-004,PAR-175,Presente,True,5.0,2024-06-21
ACT-004,PAR-156,Ausente,False,0.0,2024-06-21
ACT-004,PAR-169,Presente,True,5.0,2024-06-21
ACT-004,PAR-164,Ausente,False,0.0,2024-06-21
ACT-004,PAR-177,Presente,True,5.0,2024-06-21
ACT-004,PAR-200,Presente,True,5.0,2024-06-21
ACT-004,PAR-165,Presente,True,5.0,2024-06-21
ACT-004,PAR-176,Ausente,False,0.0,2024-06-21
ACT-004,PAR-180,Presente,True,5.0,2024-06-21
ACT-004,PAR-186,Ausente,False,0.0,2024-06-21
ACT-004,PAR-147,Presente,True,5.0,2024-06-21
ACT-004,PAR-194,Retiro temprano,False,2.12,2024-06-21
ACT-021,PAR-147,Presente,True,5.0,2024-11-10
ACT-021,PAR-150,Presente,True,5.0,2024-11-10
ACT-021,PAR-154,Presente,True,5.0,2024-11-10
ACT-021,PAR-161,Retiro temprano,False,2.67,2024-11-10
ACT-021,PAR-164,Presente,True,5.0,2024-11-10
ACT-021,PAR-171,Presente,True,5.0,2024-11-10
ACT-021,PAR-176,Ausente,False,0.0,2024-11-10
ACT-021,PAR-177,Presente,True,5.0,2024-11-10
ACT-021,PAR-178,Presente,True,5.0,2024-11-10
ACT-021,PAR-186,Retiro temprano,False,1.56,2024-11-10
ACT-021,PAR-188,Presente,True,5.0,2024-11-10
ACT-021,PAR-193,Presente,True,5.0,2024-11-10
ACT-021,PAR-197,Ausente,False,0.0,2024-11-10
ACT-021,PAR-175,Presente,True,5.0,2024-11-10
ACT-021,PAR-172,Presente,True,5.0,2024-11-10
ACT-021,PAR-200,Presente,True,5.0,2024-11-10
ACT-021,PAR-195,Ausente,False,0.0,2024-11-10
ACT-021,PAR-166,Presente,False,4.11,2024-11-10
ACT-021,PAR-168,Presente,True,5.0,2024-11-10
ACT-021,PAR-183,Presente,True,5.0,2024-11-10
ACT-021,PAR-151,Presente,True,5.0,2024-11-10
ACT-021,PAR-146,Presente,True,5.0,2024-11-10
ACT-021,PAR-169,Presente,True,5.0,2024-11-10
ACT-021,PAR-173,Presente,False,3.82,2024-11-10
ACT-021,PAR-180,Retiro temprano,False,1.62,2024-11-10
ACT-021,PAR-156,Presente,True,5.0,2024-11-10
ACT-021,PAR-196,Presente,True,5.0,2024-11-10
ACT-021,PAR-157,Presente,True,5.0,2024-11-10
ACT-021,PAR-149,Ausente,False,0.0,2024-11-10
ACT-021,PAR-165,Presente,True,5.0,2024-11-10
ACT-013,PAR-147,Presente,True,6.0,2024-12-02
ACT-013,PAR-150,Presente,True,6.0,2024-12-02
ACT-013,PAR-154,Presente,True,6.0,2024-12-02
ACT-013,PAR-161,Presente,True,6.0,2024-12-02
ACT-013,PAR-164,Presente,True,6.0,2024-12-02
ACT-013,PAR-171,Retiro temprano,False,3.12,2024-12-02
ACT-013,PAR-176,Presente,True,6.0,2024-12-02
ACT-013,PAR-177,Presente,True,6.0,2024-12-02
ACT-013,PAR-178,Presente,True,6.0,2024-12-02
ACT-013,PAR-186,Presente,True,6.0,2024-12-02
ACT-013,PAR-188,Presente,True,6.0,2024-12-02
ACT-013,PAR-193,Ausente,False,0.0,2024-12-02
ACT-013,PAR-197,Presente,True,6.0,2024-12-02
ACT-013,PAR-157,Presente,True,6.0,2024-12-02
ACT-013,PAR-172,Ausente,False,0.0,2024-12-02
ACT-013,PAR-168,Presente,True,6.0,2024-12-02
ACT-013,PAR-200,Presente,True,6.0,2024-12-02
ACT-013,PAR-183,Ausente,False,0.0,2024-12-02
ACT-013,PAR-151,Presente,True,6.0,2024-12-02
ACT-013,PAR-196,Presente,True,6.0,2024-12-02
ACT-013,PAR-169,Presente,True,6.0,2024-12-02
ACT-013,PAR-173,Presente,True,6.0,2024-12-02
ACT-013,PAR-175,Retiro temprano,False,2.16,2024-12-02
ACT-013,PAR-195,Ausente,False,0.0,2024-12-02
ACT-013,PAR-182,Presente,True,6.0,2024-12-02
ACT-013,PAR-156,Presente,True,6.0,2024-12-02
ACT-013,PAR-180,Presente,True,6.0,2024-12-02
ACT-013,PAR-165,Presente,True,6.0,2024-12-02
ACT-013,PAR-146,Presente,False,4.89,2024-12-02
ACT-013,PAR-166,Presente,True,6.0,2024-12-02
ACT-013,PAR-149,Presente,True,6.0,2024-12-02
ACT-018,PAR-147,Retiro temprano,False,2.33,2024-12-24
ACT-018,PAR-150,Retiro temprano,False,1.99,2024-12-24
ACT-018,PAR-154,Presente,True,4.0,2024-12-24
ACT-018,PAR-155,Presente,True,4.0,2024-12-24
ACT-018,PAR-158,Presente,True,4.0,2024-12-24
ACT-018,PAR-159,Ausente,False,0.0,2024-12-24
ACT-018,PAR-161,Presente,True,4.0,2024-12-24
ACT-018,PAR-164,Presente,True,4.0,2024-12-24
ACT-018,PAR-171,Presente,True,4.0,2024-12-24
ACT-018,PAR-176,Presente,True,4.0,2024-12-24
ACT-018,PAR-177,Presente,True,4.0,2024-12-24
ACT-018,PAR-178,Presente,True,4.0,2024-12-24
ACT-018,PAR-181,Presente,True,4.0,2024-12-24
ACT-018,PAR-185,Ausente,False,0.0,2024-12-24
ACT-018,PAR-186,Ausente,False,0.0,2024-12-24
ACT-018,PAR-188,Presente,True,4.0,2024-12-24
ACT-018,PAR-189,Ausente,False,0.0,2024-12-24
ACT-018,PAR-191,Presente,True,4.0,2024-12-24
ACT-018,PAR-193,Presente,True,4.0,2024-12-24
ACT-018,PAR-197,Presente,False,2.56,2024-12-24
ACT-018,PAR-187,Presente,True,4.0,2024-12-24
ACT-018,PAR-166,Presente,True,4.0,2024-12-24
ACT-018,PAR-196,Retiro temprano,False,1.5,2024-12-24
ACT-018,PAR-151,Ausente,False,0.0,2024-12-24
ACT-018,PAR-172,Presente,True,4.0,2024-12-24
ACT-018,PAR-184,Presente,True,4.0,2024-12-24
ACT-018,PAR-169,Presente,True,4.0,2024-12-24
ACT-018,PAR-148,Presente,True,4.0,2024-12-24
ACT-018,PAR-153,Retiro temprano,False,2.12,2024-12-24
ACT-018,PAR-174,Presente,True,4.0,2024-12-24
ACT-018,PAR-168,Presente,True,4.0,2024-12-24
ACT-018,PAR-200,Ausente,False,0.0,2024-12-24
ACT-018,PAR-175,Presente,True,4.0,2024-12-24
ACT-018,PAR-157,Presente,True,4.0,2024-12-24
ACT-018,PAR-180,Retiro temprano,False,1.26,2024-12-24
ACT-018,PAR-195,Presente,False,3.19,2024-12-24
ACT-018,PAR-149,Presente,True,4.0,2024-12-24
ACT-018,PAR-163,Presente,True,4.0,2024-12-24
ACT-018,PAR-167,Presente,True,4.0,2024-12-24
ACT-018,PAR-192,Presente,True,4.0,2024-12-24
ACT-018,PAR-165,Retiro temprano,False,1.88,2024-12-24
