codigo_proyecto,codigo_participante,tipo_medicion,fecha_medicion,puntaje_conocimientos,puntaje_confianza,puntaje_convivencia,formulario_completo
P04,PAR-077,Endline,2025-11-15,61,74,51,True
P04,PAR-082,Baseline,2024-03-31,49,54,54,True
P04,PAR-082,Endline,2025-11-18,45,55,54,True
P04,PAR-084,Baseline,2024-06-29,56,42,49,True
P04,PAR-084,Endline,2025-11-17,58,44,50,True
P04,PAR-095,Baseline,2024-08-26,37,66,70,True
P04,PAR-095,Endline,2025-11-19,49,85,83,True
P04,PAR-096,Baseline,2024-01-29,60,46,44,True
P04,PAR-096,Endline,2025-11-13,53,42,44,True
P04,PAR-100,Baseline,2024-04-12,49,53,68,True
P04,PAR-100,Endline,2025-11-18,63,61,79,True
P04,PAR-105,Baseline,2024-01-09,47,47,44,True
P04,PAR-115,Baseline,2024-08-26,63,64,67,True
P04,PAR-115,Endline,2025-11-19,59,65,65,True
P04,PAR-119,Baseline,2024-01-23,60,70,62,True
P04,PAR-119,Endline,2025-11-17,76,79,79,True
P04,PAR-128,Baseline,2024-04-08,64,67,43,True
P04,PAR-128,Endline,2025-11-16,75,83,62,True
P04,PAR-129,Baseline,2024-01-10,65,64,68,True
P04,PAR-129,Endline,2025-11-16,80,78,80,True
P04,PAR-131,Baseline,2024-03-13,63,45,63,True
P04,PAR-131,Endline,2025-11-19,63,45,60,True
P04,PAR-136,Baseline,2024-03-04,61,60,48,True
P04,PAR-136,Endline,2025-11-19,75,73,64,True
