codigo_participante,id_territorio,sexo,rango_edad,grupo_poblacional,fecha_registro
PAR-069,1,Mujer,46-60,Comunidades étnicas,2024-07-31
PAR-070,1,Hombre,18-25,Liderazgo comunitario,2024-01-30
PAR-071,1,Mujer,36-45,Liderazgo comunitario,2024-08-26
PAR-072,2,Hombre,18-25,Juventud,2024-03-06
PAR-073,2,Mujer,18-25,Víctimas del conflicto,2024-01-09
PAR-074,1,Mujer,18-25,Juventud,2024-02-03
PAR-075,2,Hombre,26-35,Víctimas del conflicto,2024-04-16
PAR-076,2,Mujer,26-35,Víctimas del conflicto,2024-09-23
PAR-077,2,Hombre,18-25,Juventud rural,2024-02-21
PAR-078,2,Hombre,18-25,Juventud rural,2024-03-28
PAR-079,2,Hombre,36-45,Comunidades étnicas,2024-07-05
PAR-080,2,Mujer,36-45,Comunidades étnicas,2025-01-23
PAR-081,2,Hombre,18-25,Juventud,2024-03-08
PAR-082,2,Hombre,26-35,Liderazgo comunitario,2024-03-26
PAR-083,2,Mujer,18-25,Juventud rural,2024-02-27
PAR-084,1,Mujer,26-35,Población desplazada,2024-06-27
PAR-085,2,Mujer,18-25,Juventud rural,2024-01-19
PAR-086,2,Hombre,18-25,Población desplazada,2024-02-13
PAR-087,2,Hombre,26-35,Comunidades étnicas,2024-10-02
PAR-088,1,Hombre,36-45,Comunidades étnicas,2025-01-26
PAR-089,2,Hombre,18-25,Juventud,2024-02-02
PAR-090,1,Hombre,18-25,Comunidades étnicas,2024-01-14
PAR-091,2,Mujer,18-25,Población desplazada,2024-01-07
PAR-092,2,Mujer,18-25,Población desplazada,2024-09-16
PAR-093,1,Hombre,18-25,Población desplazada,2024-02-11
PAR-094,2,Mujer,26-35,Comunidades étnicas,2024-02-25
PAR-095,1,Mujer,46-60,Víctimas del conflicto,2024-08-21
PAR-096,2,Hombre,18-25,Juventud rural,2024-01-26
PAR-097,1,Hombre,18-25,Comunidades étnicas,2024-02-22
PAR-098,1,Mujer,18-25,Liderazgo comunitario,2024-01-17
PAR-099,1,Mujer,18-25,Liderazgo comunitario,2024-02-24
PAR-100,2,Hombre,18-25,Juventud rural,2024-04-11
PAR-101,1,Hombre,36-45,Liderazgo comunitario,2024-12-29
PAR-102,1,Hombre,46-60,Comunidades étnicas,2024-07-13
PAR-103,2,Hombre,18-25,Juventud,2024-03-08
PAR-104,1,Hombre,18-25,Comunidades étnicas,2024-02-21
PAR-105,1,Mujer,18-25,Juventud,2024-01-02
PAR-106,1,Mujer,36-45,Víctimas del conflicto,2024-12-12
PAR-107,1,Hombre,18-25,Juventud,2024-01-10
PAR-108,1,Mujer,18-25,Comunidades étnicas,2024-06-14
PAR-109,1,Hombre,36-45,Población desplazada,2024-04-18
PAR-110,2,Hombre,18-25,Población desplazada,2024-02-26
PAR-111,2,Hombre,36-45,Población desplazada,2024-02-05
PAR-112,1,Mujer,18-25,Juventud,2024-01-08
PAR-113,1,Mujer,18-25,Comunidades étnicas,2024-03-07
PAR-114,2,Hombre,18-25,Juventud rural,2024-01-13
PAR-115,1,Mujer,36-45,Liderazgo comunitario,2024-08-26
PAR-116,1,Hombre,18-25,Víctimas del conflicto,2024-02-25
PAR-117,2,Hombre,18-25,Comunidades étnicas,2024-04-01
PAR-118,1,Mujer,26-35,Víctimas del conflicto,2024-03-30
PAR-119,2,Mujer,26-35,Población desplazada,2024-01-21
PAR-120,2,Hombre,18-25,Juventud,2024-01-15
PAR-121,1,Hombre,26-35,Víctimas del conflicto,2024-12-10
PAR-122,2,Mujer,18-25,Juventud,2024-06-29
PAR-123,2,Mujer,18-25,Liderazgo comunitario,2024-03-02
PAR-124,2,Hombre,18-25,Juventud rural,2024-03-26
PAR-125,2,Hombre,36-45,Liderazgo comunitario,2024-08-02
PAR-126,2,Mujer,18-25,Juventud rural,2024-01-11
PAR-127,2,Hombre,26-35,Liderazgo comunitario,2024-01-29
PAR-128,2,Mujer,26-35,Comunidades étnicas,2024-04-05
PAR-129,1,Mujer,26-35,Comunidades étnicas,2024-01-05
PAR-130,2,Mujer,18-25,Juventud rural,2024-01-20
PAR-131,2,Hombre,26-35,Población desplazada,2024-03-06
PAR-132,1,Mujer,26-35,Comunidades étnicas,2024-07-01
PAR-133,1,Hombre,26-35,Comunidades étnicas,2024-07-21
PAR-134,1,Hombre,36-45,Población desplazada,2025-01-16
PAR-135,1,Mujer,18-25,Víctimas del conflicto,2024-01-13
PAR-136,1,Hombre,26-35,Liderazgo comunitario,2024-03-01
PAR-137,2,Hombre,18-25,Población desplazada,2024-02-16
PAR-138,1,Mujer,26-35,Liderazgo comunitario,2024-11-27
PAR-139,1,Mujer,26-35,Comunidades étnicas,2024-09-11
PAR-140,1,Mujer,18-25,Población desplazada,2024-04-03
PAR-141,1,Hombre,26-35,Víctimas del conflicto,2024-06-15
PAR-142,1,Mujer,36-45,Población desplazada,2024-12-26
PAR-143,1,Mujer,18-25,Liderazgo comunitario,2024-01-14
PAR-144,1,Hombre,26-35,Víctimas del conflicto,2024-03-14
PAR-145,1,Hombre,36-45,Liderazgo comunitario,2024-04-25
PAR-146,4,Mujer,26-35,Liderazgo comunitario,2024-04-30
PAR-147,4,Mujer,26-35,Liderazgo comunitario,2024-04-05
PAR-148,3,Mujer,26-35,Población desplazada,2024-01-28
PAR-149,4,Mujer,26-35,Liderazgo comunitario,2024-02-25
PAR-150,4,Mujer,18-25,Víctimas del conflicto,2024-02-09
PAR-151,4,Mujer,18-25,Víctimas del conflicto,2024-04-02
PAR-152,3,Mujer,18-25,Víctimas del conflicto,2024-01-28
PAR-153,3,Mujer,36-45,Liderazgo comunitario,2024-03-08
PAR-154,4,Mujer,26-35,Liderazgo comunitario,2024-01-07
PAR-155,3,Mujer,18-25,Víctimas del conflicto,2024-03-18
PAR-156,4,Mujer,26-35,Liderazgo comunitario,2024-02-23
PAR-157,4,Mujer,26-35,Liderazgo comunitario,2024-02-17
PAR-158,3,Mujer,26-35,Liderazgo comunitario,2024-01-21
PAR-159,3,Mujer,26-35,Víctimas del conflicto,2024-02-26
PAR-160,4,Mujer,36-45,Liderazgo comunitario,2024-02-24
PAR-161,4,Mujer,26-35,Víctimas del conflicto,2024-02-28
PAR-162,3,Mujer,36-45,Víctimas del conflicto,2024-02-18
PAR-163,3,Mujer,46-60,Población desplazada,2024-01-07
PAR-164,4,Mujer,18-25,Comunidades étnicas,2024-02-14
PAR-165,4,Mujer,26-35,Víctimas del conflicto,2024-03-06
PAR-166,4,Mujer,46-60,Comunidades étnicas,2024-03-17
PAR-167,3,Mujer,26-35,Víctimas del conflicto,2024-02-09
PAR-168,4,Mujer,18-25,Juventud,2024-03-16
PAR-169,4,Mujer,36-45,Comunidades étnicas,2024-02-04
PAR-170,4,Mujer,26-35,Víctimas del conflicto,2024-03-27
PAR-171,4,Mujer,18-25,Comunidades étnicas,2024-01-21
PAR-172,4,Mujer,26-35,Víctimas del conflicto,2024-03-03
PAR-173,4,Mujer,46-60,Comunidades étnicas,2024-02-06
PAR-174,3,Mujer,36-45,Comunidades étnicas,2024-04-09
PAR-175,4,Mujer,36-45,Víctimas del conflicto,2024-01-12
PAR-176,4,Mujer,26-35,Víctimas del conflicto,2024-03-03
PAR-177,4,Mujer,46-60,Comunidades étnicas,2024-03-13
PAR-178,4,Mujer,26-35,Víctimas del conflicto,2024-02-23
PAR-179,4,Mujer,36-45,Liderazgo comunitario,2024-03-08
PAR-180,4,Mujer,26-35,Población desplazada,2024-02-13
PAR-181,3,Mujer,26-35,Liderazgo comunitario,2024-01-04
PAR-182,4,Mujer,26-35,Comunidades étnicas,2024-02-04
PAR-183,4,Mujer,18-25,Juventud,2024-01-20
PAR-184,3,Mujer,26-35,Población desplazada,2024-01-15
PAR-185,3,Mujer,26-35,Liderazgo comunitario,2024-04-04
PAR-186,4,Mujer,36-45,Víctimas del conflicto,2024-03-25
PAR-187,3,Mujer,46-60,Población desplazada,2024-02-26
PAR-188,4,Mujer,18-25,Víctimas del conflicto,2024-03-26
PAR-189,3,Mujer,18-25,Juventud,2024-01-11
PAR-190,3,Mujer,18-25,Liderazgo comunitario,2024-03-20
PAR-191,3,Mujer,36-45,Población desplazada,2024-01-11
PAR-192,3,Mujer,18-25,Juventud,2024-01-15
PAR-193,4,Mujer,26-35,Población desplazada,2024-02-11
PAR-194,4,Mujer,18-25,Juventud,2024-03-27
PAR-195,4,Mujer,26-35,Liderazgo comunitario,2024-04-23
PAR-196,4,Mujer,18-25,Comunidades étnicas,2024-04-06
PAR-197,4,Mujer,26-35,Víctimas del conflicto,2024-03-22
PAR-198,3,Mujer,26-35,Población desplazada,2024-04-06
PAR-199,3,Mujer,36-45,Población desplazada,2024-03-27
PAR-200,4,Mujer,18-25,Comunidades étnicas,2024-05-04
PAR-201,5,Hombre,46-60,Comunidades étnicas,2025-06-17
PAR-202,6,Mujer,46-60,Liderazgo comunitario,2024-12-04
PAR-203,5,Mujer,36-45,Comunidades étnicas,2025-06-09
PAR-204,5,Hombre,18-25,Juventud,2024-05-09
PAR-205,5,Mujer,36-45,Comunidades étnicas,2024-05-08
PAR-206,5,Hombre,26-35,Comunidades étnicas,2024-08-25
PAR-207,6,Hombre,36-45,Liderazgo comunitario,2024-08-02
PAR-208,5,Hombre,46-60,Comunidades étnicas,2025-01-29
PAR-209,6,Mujer,18-25,Juventud,2024-06-06
PAR-210,6,Hombre,46-60,Población desplazada,2024-08-30
PAR-211,6,Mujer,36-45,Comunidades étnicas,2025-01-15
PAR-212,5,Hombre,18-25,Juventud,2024-01-11
PAR-213,5,Mujer,46-60,Población desplazada,2024-06-15
PAR-214,5,Mujer,18-25,Juventud rural,2024-01-19
PAR-215,5,Hombre,18-25,Liderazgo comunitario,2024-04-25
PAR-216,6,Hombre,18-25,Juventud,2024-08-23
PAR-217,5,Hombre,26-35,Liderazgo comunitario,2025-09-22
PAR-218,6,Hombre,36-45,Liderazgo comunitario,2025-01-08
PAR-219,6,Mujer,46-60,Población desplazada,2024-04-04
PAR-220,5,Mujer,26-35,Liderazgo comunitario,2025-09-01
PAR-221,5,Hombre,46-60,Población desplazada,2025-01-19
PAR-222,5,Hombre,46-60,Víctimas del conflicto,2024-09-03
PAR-223,6,Mujer,18-25,Juventud,2025-06-14
PAR-224,6,Mujer,36-45,Liderazgo comunitario,2025-02-22
PAR-225,5,Hombre,26-35,Liderazgo comunitario,2024-04-25
PAR-226,5,Mujer,46-60,Comunidades étnicas,2025-01-27
PAR-227,5,Mujer,26-35,Víctimas del conflicto,2025-07-05
PAR-228,5,Mujer,36-45,Víctimas del conflicto,2024-12-18
PAR-229,6,Hombre,46-60,Liderazgo comunitario,2025-07-10
PAR-230,5,Hombre,18-25,Víctimas del conflicto,2024-12-05
PAR-231,6,Hombre,36-45,Población desplazada,2024-07-08
PAR-232,6,Hombre,26-35,Liderazgo comunitario,2024-01-15
PAR-233,6,Mujer,46-60,Liderazgo comunitario,2024-09-23
PAR-234,5,Mujer,26-35,Víctimas del conflicto,2025-07-13
PAR-235,5,Hombre,36-45,Víctimas del conflicto,2024-04-08
PAR-236,5,Hombre,26-35,Comunidades étnicas,2024-02-18
PAR-237,6,Mujer,18-25,Juventud,2024-04-28
PAR-238,5,Hombre,36-45,Comunidades étnicas,2025-06-17
PAR-239,6,Mujer,46-60,Liderazgo comunitario,2025-06-13
PAR-240,6,Mujer,26-35,Población desplazada,2025-05-21
PAR-241,6,Mujer,36-45,Comunidades étnicas,2024-08-08
PAR-242,6,Mujer,26-35,Víctimas del conflicto,2025-05-07
PAR-243,5,Mujer,26-35,Comunidades étnicas,2024-05-31
PAR-244,5,Hombre,26-35,Comunidades étnicas,2024-06-14
PAR-245,5,Hombre,36-45,Víctimas del conflicto,2025-02-22
PAR-246,6,Mujer,36-45,Víctimas del conflicto,2025-04-24
PAR-247,6,Hombre,26-35,Víctimas del conflicto,2024-01-10
PAR-248,6,Hombre,26-35,Víctimas del conflicto,2024-05-09
PAR-249,6,Mujer,26-35,Población desplazada,2025-07-18
PAR-250,6,Hombre,26-35,Víctimas del conflicto,2024-01-24
PAR-251,5,Hombre,36-45,Víctimas del conflicto,2025-05-13
PAR-252,5,Hombre,46-60,Población desplazada,2025-06-25
PAR-253,6,Mujer,36-45,Liderazgo comunitario,2024-05-21
PAR-254,6,Hombre,46-60,Víctimas del conflicto,2025-01-02
PAR-255,6,Hombre,26-35,Comunidades étnicas,2025-05-15
PAR-256,5,Hombre,46-60,Comunidades étnicas,2025-05-17
PAR-257,5,Mujer,36-45,Comunidades étnicas,2024-04-28
PAR-258,5,Mujer,18-25,Población desplazada,2025-01-04
PAR-259,5,Mujer,46-60,Población desplazada,2025-06-01
PAR-260,5,Mujer,36-45,Población desplazada,2024-05-28
PAR-261,6,Mujer,26-35,Comunidades étnicas,2024-03-18
PAR-262,6,Mujer,18-25,Comunidades étnicas,2024-08-25
PAR-263,5,Mujer,26-35,Población desplazada,2024-06-03
PAR-264,6,Mujer,36-45,Comunidades étnicas,2024-09-27
PAR-265,5,Hombre,18-25,Población desplazada,2025-01-26
PAR-266,5,Hombre,36-45,Comunidades étnicas,2024-10-02
PAR-267,6,Mujer,36-45,Liderazgo comunitario,2024-03-23
PAR-268,6,Hombre,36-45,Comunidades étnicas,2024-01-16
PAR-269,6,Mujer,18-25,Víctimas del conflicto,2024-11-19
PAR-270,5,Hombre,26-35,Comunidades étnicas,2024-02-08
PAR-271,5,Hombre,46-60,Liderazgo comunitario,2024-03-14
PAR-272,5,Hombre,26-35,Comunidades étnicas,2025-06-25
PAR-273,5,Mujer,18-25,Población desplazada,2025-07-10
PAR-274,6,Mujer,46-60,Víctimas del conflicto,2025-06-08
PAR-275,5,Mujer,46-60,Comunidades étnicas,2025-08-21
PAR-276,5,Hombre,46-60,Liderazgo comunitario,2025-09-14
PAR-277,5,Mujer,26-35,Comunidades étnicas,2024-09-17
PAR-278,5,Mujer,36-45,Comunidades étnicas,2025-04-07
PAR-279,5,Mujer,36-45,Víctimas del conflicto,2025-04-06
PAR-280,6,Mujer,46-60,Víctimas del conflicto,2024-03-20
PAR-281,5,Hombre,46-60,Víctimas del conflicto,2024-03-31
PAR-282,5,Hombre,46-60,Comunidades étnicas,2024-03-11
PAR-283,5,Hombre,36-45,Víctimas del conflicto,2024-06-10
PAR-284,6,Hombre,46-60,Víctimas del conflicto,2024-12-31
PAR-285,5,Hombre,46-60,Liderazgo comunitario,2025-03-28
PAR-286,5,Hombre,36-45,Comunidades étnicas,2024-04-23
PAR-287,6,Hombre,46-60,Población desplazada,2024-10-09
PAR-288,6,Mujer,36-45,Liderazgo comunitario,2024-01-15
PAR-289,5,Mujer,26-35,Población desplazada,2025-08-13
PAR-290,6,Mujer,46-60,Población desplazada,2024-05-01
PAR-291,6,Hombre,26-35,Liderazgo comunitario,2024-04-30
PAR-292,6,Mujer,36-45,Víctimas del conflicto,2024-11-16
PAR-293,5,Hombre,46-60,Liderazgo comunitario,2024-01-20
PAR-294,6,Hombre,18-25,Comunidades étnicas,2024-04-25
PAR-295,5,Hombre,36-45,Comunidades étnicas,2024-12-30
PAR-296,5,Hombre,36-45,Comunidades étnicas,2025-02-07
PAR-297,6,Mujer,26-35,Comunidades étnicas,2024-06-01
PAR-298,6,Mujer,46-60,Liderazgo comunitario,2024-12-28
PAR-299,6,Mujer,46-60,Población desplazada,2024-05-26
PAR-300,5,Mujer,36-45,Comunidades étnicas,2024-08-15
