codigo_participante,codigo_proyecto,fecha_inscripcion,estado_participacion,fecha_salida,motivo_salida
PAR-169,P02,2024-02-04,Finalizada,,
PAR-187,P02,2024-02-26,Finalizada,,
PAR-186,P02,2024-03-25,Finalizada,,
PAR-160,P02,2024-02-24,Retirada,2024-04-12,Incompatibilidad horaria
PAR-176,P02,2024-03-03,Finalizada,,
PAR-155,P02,2024-03-18,Finalizada,,
PAR-159,P02,2024-02-26,Retirada,2025-05-06,Incompatibilidad horaria
PAR-178,P02,2024-02-23,Finalizada,,
PAR-182,P02,2024-02-04,Finalizada,,
PAR-152,P02,2024-01-28,Retirada,2024-05-01,Motivos laborales
PAR-196,P02,2024-04-06,Retirada,2025-07-21,Cambio de residencia
PAR-165,P02,2024-03-06,Retirada,2025-05-25,Incompatibilidad horaria
PAR-184,P02,2024-01-15,Finalizada,,
PAR-164,P02,2024-02-14,Finalizada,,
PAR-149,P02,2024-02-25,Finalizada,,
PAR-192,P02,2024-01-15,Retirada,2025-06-18,Incompatibilidad horaria
PAR-173,P02,2024-02-06,Retirada,2025-06-03,Cambio de residencia
PAR-194,P02,2024-03-27,Retirada,2024-09-19,Responsabilidades de cuidado
PAR-199,P02,2024-03-27,Retirada,2024-08-07,Cambio de residencia
PAR-168,P02,2024-03-16,Finalizada,,
PAR-172,P02,2024-03-03,Finalizada,,
PAR-153,P02,2024-03-08,Finalizada,,
PAR-188,P02,2024-03-26,Finalizada,,
PAR-167,P02,2024-02-09,Finalizada,,
PAR-291,P03,2024-04-30,Finalizada,,
PAR-286,P03,2024-04-23,Finalizada,,
PAR-283,P03,2024-06-10,Finalizada,,
PAR-261,P03,2024-03-18,Finalizada,,
PAR-282,P03,2024-03-11,Finalizada,,
PAR-243,P03,2024-05-31,Finalizada,,
PAR-288,P03,2024-01-15,Finalizada,,
PAR-281,P03,2024-03-31,Finalizada,,
PAR-248,P03,2024-05-09,Finalizada,,
PAR-214,P03,2024-01-19,Finalizada,,
PAR-280,P03,2024-03-20,Finalizada,,
PAR-257,P03,2024-04-28,Finalizada,,
PAR-294,P03,2024-04-25,Finalizada,,
PAR-247,P03,2024-01-10,Finalizada,,
PAR-232,P03,2024-01-15,Finalizada,,
PAR-219,P03,2024-04-04,Finalizada,,
PAR-271,P03,2024-03-14,Finalizada,,
PAR-293,P03,2024-01-20,Finalizada,,
PAR-244,P03,2024-06-14,Finalizada,,
PAR-250,P03,2024-01-24,Finalizada,,
PAR-209,P03,2024-06-06,Finalizada,,
PAR-297,P03,2024-06-01,Finalizada,,
PAR-204,P03,2024-05-09,Finalizada,,
PAR-235,P03,2024-04-08,Retirada,2025-07-18,Incompatibilidad horaria
PAR-237,P03,2024-04-28,Finalizada,,
PAR-260,P03,2024-05-28,Finalizada,,
PAR-253,P03,2024-05-21,Finalizada,,
PAR-231,P03,2024-07-08,Finalizada,,
PAR-212,P03,2024-01-11,Finalizada,,
PAR-225,P03,2024-04-25,Finalizada,,
PAR-299,P03,2024-05-26,Finalizada,,
PAR-213,P03,2024-06-15,Finalizada,,
PAR-236,P03,2024-02-18,Finalizada,,
PAR-267,P03,2024-03-23,Finalizada,,
PAR-263,P03,2024-06-03,Retirada,2025-09-21,Responsabilidades de cuidado
PAR-290,P03,2024-05-01,Finalizada,,
PAR-205,P03,2024-05-08,Finalizada,,
PAR-270,P03,2024-02-08,Finalizada,,
PAR-268,P03,2024-01-16,Finalizada,,
PAR-215,P03,2024-04-25,Finalizada,,
PAR-222,P03,2024-09-03,Finalizada,,
PAR-220,P03,2025-09-01,Finalizada,,
PAR-276,P03,2025-09-14,Finalizada,,
PAR-258,P03,2025-01-04,Retirada,2025-07-09,Motivos laborales
PAR-234,P03,2025-07-13,Finalizada,,
PAR-262,P03,2024-08-25,Finalizada,,
PAR-285,P03,2025-03-28,Finalizada,,
PAR-274,P03,2025-06-08,Retirada,2025-07-29,Motivos laborales
PAR-287,P03,2024-10-09,Finalizada,,
PAR-207,P03,2024-08-02,Retirada,2025-02-15,Responsabilidades de cuidado
PAR-292,P03,2024-11-16,Finalizada,,
PAR-273,P03,2025-07-10,Retirada,2025-09-24,Motivos personales
PAR-224,P03,2025-02-22,Finalizada,,
PAR-245,P03,2025-02-22,Finalizada,,
PAR-278,P03,2025-04-07,Finalizada,,
PAR-279,P03,2025-04-06,Retirada,2025-05-26,Motivos laborales
PAR-240,P03,2025-05-21,Retirada,2025-07-16,Cambio de residencia
PAR-266,P03,2024-10-02,Finalizada,,
PAR-211,P03,2025-01-15,Finalizada,,
PAR-221,P03,2025-01-19,Finalizada,,
PAR-202,P03,2024-12-04,Finalizada,,
PAR-226,P03,2025-01-27,Finalizada,,
PAR-296,P03,2025-02-07,Finalizada,,
PAR-289,P03,2025-08-13,Retirada,2025-12-09,Motivos laborales
PAR-254,P03,2025-01-02,Finalizada,,
PAR-252,P03,2025-06-25,Finalizada,,
PAR-255,P03,2025-05-15,Retirada,2025-06-24,Responsabilidades de cuidado
PAR-241,P03,2024-08-08,Finalizada,,
PAR-275,P03,2025-08-21,Finalizada,,
PAR-259,P03,2025-06-01,Finalizada,,
PAR-203,P03,2025-06-09,Finalizada,,
PAR-284,P03,2024-12-31,Finalizada,,
PAR-300,P03,2024-08-15,Finalizada,,
PAR-298,P03,2024-12-28,Finalizada,,
PAR-210,P03,2024-08-30,Finalizada,,
PAR-246,P03,2025-04-24,Finalizada,,
PAR-272,P03,2025-06-25,Finalizada,,
PAR-265,P03,2025-01-26,Finalizada,,
PAR-230,P03,2024-12-05,Finalizada,,
PAR-269,P03,2024-11-19,Finalizada,,
PAR-249,P03,2025-07-18,Finalizada,,
PAR-217,P03,2025-09-22,Finalizada,,
PAR-223,P03,2025-06-14,Finalizada,,
PAR-256,P03,2025-05-17,Finalizada,,
PAR-264,P03,2024-09-27,Finalizada,,
PAR-295,P03,2024-12-30,Finalizada,,
PAR-216,P03,2024-08-23,Finalizada,,
PAR-242,P03,2025-05-07,Finalizada,,
PAR-238,P03,2025-06-17,Retirada,2025-10-14,Motivos laborales
PAR-233,P03,2024-09-23,Finalizada,,
PAR-218,P03,2025-01-08,Finalizada,,
PAR-228,P03,2024-12-18,Finalizada,,
PAR-239,P03,2025-06-13,Finalizada,,
PAR-227,P03,2025-07-05,Finalizada,,
PAR-201,P03,2025-06-17,Finalizada,,
PAR-208,P03,2025-01-29,Retirada,2025-07-28,Responsabilidades de cuidado
PAR-277,P03,2024-09-17,Finalizada,,
PAR-251,P03,2025-05-13,Finalizada,,
PAR-229,P03,2025-07-10,Finalizada,,
PAR-206,P03,2024-08-25,Finalizada,,
PAR-062,P04,2024-07-31,Finalizada,,
PAR-060,P04,2024-04-21,Finalizada,,
PAR-042,P04,2024-01-24,Finalizada,,
PAR-011,P04,2024-08-30,Finalizada,,
PAR-095,P04,2024-08-21,Finalizada,,
PAR-050,P04,2024-02-26,Finalizada,,
PAR-004,P04,2024-07-28,Finalizada,,
PAR-145,P04,2024-04-25,Retirada,2025-08-16,Cambio de residencia
PAR-135,P04,2024-08-14,Finalizada,,
PAR-118,P04,2024-03-30,Retirada,2024-09-05,Cambio de residencia
PAR-071,P04,2024-08-26,Finalizada,,
PAR-065,P04,2024-01-07,Finalizada,,
PAR-075,P04,2024-04-16,Finalizada,,
PAR-020,P04,2024-01-14,Finalizada,,
PAR-100,P04,2024-04-11,Finalizada,,
PAR-006,P04,2024-05-08,Finalizada,,
PAR-128,P04,2024-04-05,Finalizada,,
PAR-136,P04,2024-03-01,Finalizada,,
PAR-018,P04,2024-04-08,Finalizada,,
PAR-014,P04,2024-01-21,Finalizada,,
PAR-030,P04,2024-04-05,Retirada,2025-05-20,Motivos laborales
PAR-044,P04,2024-02-27,Finalizada,,
PAR-017,P04,2024-01-08,Finalizada,,
PAR-063,P04,2024-03-22,Finalizada,,
PAR-115,P04,2024-08-26,Finalizada,,
PAR-096,P04,2024-01-26,Finalizada,,
PAR-125,P04,2024-08-02,Finalizada,,
PAR-132,P04,2024-07-01,Finalizada,,
PAR-141,P04,2024-06-15,Finalizada,,
PAR-082,P04,2024-03-26,Finalizada,,
PAR-133,P04,2024-07-21,Finalizada,,
PAR-059,P04,2024-02-07,Finalizada,,
PAR-010,P04,2024-02-05,Finalizada,,
PAR-061,P04,2024-01-10,Finalizada,,
PAR-144,P04,2024-03-14,Finalizada,,
PAR-032,P04,2024-08-22,Finalizada,,
PAR-069,P04,2024-07-31,Finalizada,,
PAR-031,P04,2024-04-30,Finalizada,,
PAR-084,P04,2024-06-27,Finalizada,,
PAR-040,P04,2024-07-31,Finalizada,,
PAR-111,P04,2024-02-05,Finalizada,,
PAR-102,P04,2024-07-13,Finalizada,,
PAR-033,P04,2024-06-29,Finalizada,,
PAR-003,P04,2024-04-30,Finalizada,,
PAR-056,P04,2024-04-24,Finalizada,,
PAR-077,P04,2024-06-06,Finalizada,,
PAR-105,P04,2024-01-02,Retirada,2025-09-03,Cambio de residencia
PAR-120,P04,2024-08-19,Finalizada,,
PAR-119,P04,2024-01-21,Finalizada,,
PAR-129,P04,2024-01-05,Finalizada,,
PAR-131,P04,2024-03-06,Finalizada,,
PAR-094,P04,2024-02-25,Retirada,2025-03-31,Motivos laborales
PAR-137,P04,2024-08-01,Finalizada,,
PAR-023,P04,2024-02-08,Finalizada,,
PAR-089,P04,2024-05-20,Finalizada,,
PAR-029,P04,2024-08-28,Finalizada,,
PAR-079,P04,2024-07-05,Finalizada,,
PAR-021,P04,2024-06-04,Finalizada,,
PAR-126,P04,2024-05-15,Finalizada,,
PAR-109,P04,2024-04-18,Finalizada,,
PAR-127,P04,2024-01-29,Finalizada,,
PAR-043,P04,2024-07-17,Finalizada,,
PAR-025,P04,2024-03-14,Finalizada,,
PAR-013,P04,2024-11-10,Finalizada,,
PAR-138,P04,2024-11-27,Finalizada,,
PAR-028,P04,2024-10-12,Retirada,2025-09-16,Incompatibilidad horaria
PAR-076,P04,2024-09-23,Finalizada,,
PAR-022,P04,2024-11-11,Finalizada,,
PAR-041,P04,2024-12-27,Finalizada,,
PAR-038,P04,2025-01-06,Finalizada,,
PAR-058,P04,2024-09-27,Finalizada,,
PAR-046,P04,2024-10-09,Finalizada,,
PAR-134,P04,2025-01-16,Finalizada,,
PAR-088,P04,2025-01-26,Finalizada,,
PAR-057,P04,2024-09-15,Finalizada,,
PAR-045,P04,2025-01-20,Finalizada,,
PAR-064,P04,2024-11-11,Finalizada,,
PAR-054,P04,2024-10-17,Finalizada,,
PAR-009,P04,2024-11-24,Finalizada,,
PAR-101,P04,2024-12-29,Finalizada,,
PAR-139,P04,2024-09-11,Finalizada,,
PAR-121,P04,2024-12-10,Retirada,2025-01-24,Incompatibilidad horaria
PAR-026,P04,2024-11-11,Finalizada,,
PAR-142,P04,2024-12-26,Finalizada,,
PAR-034,P04,2024-10-28,Finalizada,,
PAR-087,P04,2024-10-02,Retirada,2025-03-01,Responsabilidades de cuidado
PAR-073,P04,2025-01-23,Retirada,2025-10-10,Responsabilidades de cuidado
PAR-106,P04,2024-12-12,Finalizada,,
PAR-104,P04,2024-09-28,Finalizada,,
PAR-080,P04,2025-01-23,Finalizada,,
